[[1.05798888]], [[1.32420861]], [[0.94941721]], [[0.8735007]], [[0.87171445]], [[0.88647358]], [[0.96076202]], [[0.79327131]], [[0.87243615]], [[0.93297133]], [[0.79819661]], [[0.83293552]], [[0.77661641]], [[0.80332104]], [[0.70053077]], [[0.85005139]], [[0.78679444]], [[0.84738395]], [[0.77148719]], [[0.70597611]], [[0.64709507]], [[0.75005231]], [[0.67212303]], [[0.63953389]], [[0.65110552]], [[0.74676343]], [[0.62350894]], [[0.62100767]], [[0.65304075]], [[0.64144154]], [[0.58936511]], [[0.66649]], [[0.71137502]], [[0.66360333]], [[0.63746277]], [[0.6559592]], [[0.6236038]], [[0.6315892]], [[0.65492415]], [[0.72156659]], [[0.64535248]], [[0.54992999]], [[0.63686938]], [[0.61859534]], [[0.6531275]], [[0.67894945]], [[0.70441928]], [[0.60700357]], [[0.5836054]], [[0.53438882]], [[0.59879108]], 
[[1.03041285]], [[1.13790543]], [[1.10742324]], [[0.95032354]], [[0.92872837]], [[0.97311326]], [[1.02665532]], [[0.97364371]], [[0.96954253]], [[1.00667324]], [[0.96824089]], [[0.88014009]], [[0.9648815]], [[0.8512651]], [[0.88568774]], [[0.91057207]], [[0.92591855]], [[0.90173822]], [[0.85042546]], [[0.77117422]], [[0.83830111]], [[0.81922245]], [[0.78818213]], [[0.79762626]], [[0.75597093]], [[0.73704197]], [[0.72952842]], [[0.79774862]], [[0.72524288]], [[0.67582369]], [[0.68069994]], [[0.82169014]], [[0.66779174]], [[0.63973462]], [[0.6501673]], [[0.7922258]], [[0.6054103]], [[0.59493479]], [[0.64432335]], [[0.61765819]], [[0.59948541]], [[0.59978806]], [[0.62357792]], [[0.61622222]], [[0.68678341]], [[0.55477121]], [[0.62041381]], [[0.60523509]], [[0.558889]], [[0.56997493]], [[0.56907239]], 
[[0.90406839]], [[0.9957164]], [[0.79674999]], [[0.82348268]], [[0.9130416]], [[0.85748205]], [[0.83464062]], [[0.81008783]], [[0.7397985]], [[0.72980923]], [[0.72704843]], [[0.75416385]], [[0.75487682]], [[0.81922707]], [[0.69951015]], [[0.72390102]], [[0.73670616]], [[0.79352087]], [[0.66701305]], [[0.70424147]], [[0.76425195]], [[0.67480537]], [[0.63454848]], [[0.70101959]], [[0.66065822]], [[0.67319767]], [[0.68061724]], [[0.81321332]], [[0.65032789]], [[0.64339606]], [[0.60770443]], [[0.68819277]], [[0.6324136]], [[0.59133279]], [[0.64734385]], [[0.66077837]], [[0.54634863]], [[0.63767945]], [[0.56393183]], [[0.62625405]], [[0.58871892]], [[0.59640549]], [[0.55384453]], [[0.58738288]], [[0.56525887]], [[0.55415808]], [[0.56652934]], [[0.54129205]], [[0.63545323]], [[0.55963128]], [[0.60103977]], 
