[[1.05798888]], [[0.92423627]], [[0.97257146]], [[0.91759775]], [[0.93031071]], [[0.84812171]], [[0.87218728]], [[0.83888518]], [[0.84345629]], [[0.77864454]], [[0.79390268]], [[0.7984786]], [[0.70461751]], [[0.74869787]], [[0.72855579]], [[0.76715475]], [[0.73401946]], [[0.75061656]], [[0.80449975]], [[0.6684337]], [[0.67430392]], [[0.70058514]], [[0.70380458]], [[0.61809981]], [[0.63591603]], [[0.72019802]], [[0.64926923]], [[0.63922501]], [[0.63047788]], [[0.68119758]], [[0.66553099]], [[0.64426149]], [[0.68893896]], [[0.66306388]], [[0.63661704]], [[0.63470399]], [[0.67258299]], [[0.67166424]], [[0.64615853]], [[0.65541581]], [[0.67114565]], [[0.57534998]], [[0.59561536]], [[0.59093896]], [[0.57194888]], [[0.65262474]], [[0.60499151]], [[0.57199423]], [[0.61927334]], [[0.56262398]], [[0.51795193]], 
[[1.03041285]], [[1.00206994]], [[0.98391925]], [[0.87353304]], [[0.95534041]], [[1.07995968]], [[0.96571399]], [[0.96992584]], [[0.97910078]], [[1.01352509]], [[0.92685813]], [[0.86577046]], [[0.85345296]], [[0.8517965]], [[0.95183619]], [[0.90131788]], [[0.85401672]], [[0.87793077]], [[0.80805604]], [[0.82943425]], [[0.77918215]], [[0.80247728]], [[0.82588012]], [[0.75620266]], [[0.7256428]], [[0.71840898]], [[0.68295125]], [[0.69449057]], [[0.70512345]], [[0.69466896]], [[0.70459514]], [[0.6769429]], [[0.63287201]], [[0.72049037]], [[0.65136721]], [[0.67536039]], [[0.62456322]], [[0.57623017]], [[0.60038379]], [[0.60540905]], [[0.61172972]], [[0.59447627]], [[0.62439397]], [[0.61395999]], [[0.59549643]], [[0.58089133]], [[0.60248364]], [[0.58227347]], [[0.58019135]], [[0.59214034]], [[0.59367551]], 
[[0.90406839]], [[0.91732338]], [[0.86349522]], [[0.88163959]], [[0.86055905]], [[0.8934527]], [[0.8532388]], [[0.74400276]], [[0.74131142]], [[0.78758759]], [[0.77975567]], [[0.76018777]], [[0.7257755]], [[0.77914832]], [[0.7199475]], [[0.64647049]], [[0.73482712]], [[0.685394]], [[0.71931492]], [[0.65539877]], [[0.72435549]], [[0.71262883]], [[0.71306451]], [[0.70841133]], [[0.68075221]], [[0.6879908]], [[0.67443283]], [[0.70532966]], [[0.6366632]], [[0.67564016]], [[0.63700001]], [[0.65111806]], [[0.61613937]], [[0.59418064]], [[0.64655726]], [[0.6353267]], [[0.55774961]], [[0.65866524]], [[0.61110479]], [[0.66118468]], [[0.60219984]], [[0.55442095]], [[0.59046291]], [[0.5924086]], [[0.59192013]], [[0.59373304]], [[0.56374961]], [[0.58373803]], [[0.59789709]], [[0.59074676]], [[0.56109779]], 
